country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,5,0,0.0,0.0,Asia
Albania,94,132,54.0,4.9,Europe
Algeria,30,0,14.0,0.7,Africa
Andorra,250,138,312.0,12.4,Europe
Angola,222,57,45.0,5.9,Africa
Antigua & Barbuda,107,128,45.0,4.9,North America
Argentina,198,25,221.0,8.3,South America
Armenia,26,179,11.0,3.8,
Australia,266,72,212.0,10.4,Oceania
Austria,284,75,191.0,9.7,Europe
Azerbaijan,26,46,5.0,1.3,Europe
Bahamas,127,176,51.0,6.3,North America
Bahrain,47,63,7.0,2.0,Asia
Bangladesh,5,0,0.0,0.0,Asia
Barbados,178,36,6.3,North America,
Belarus,147,373,42.0,14.4,Europe
Belgium,300,84,212.0,10.5,Europe
Belize,268,114,8.0,6.8,North America
Benin,39,4,13.0,1.1,Africa
Bhutan,28,0,0.0,0.4,Asia
Bolivia,46,8,3.8,South America,
Bosnia-Herzegovina,81,173,8.0,4.6,Europe
Botswana,178,35,35.0,5.4,Africa
Brazil,250,145,16.0,7.2 America,
Brunei,36,2,1.0,0.6,Asia
Bulgaria,236,252,94.0,10.3,Europe
Burkina Faso,30,7,7.0,4.3,Africa
Burundi,93,0,0.0,6.3,Africa
Cote d'Ivoire,42,1,7.0,4.0,Africa
Cabo Verde,149,56,16.0,4.0,Africa
Cambodia,62,65,1.0,2.2,Asia
Cameroon,152,1,4.0,5.8,Africa
Canada,245,122,100.0,8.2,North America
Central African Republic,22,2,1.0,1.8,Africa
Chad,20,1,1.0,0.4,Africa
Chile,135,124,172.0,7.6,South America
China,84,192,8.0,5.0,Asia
Colombia,164,76,3.0,4.2,South America
Comoros,6,3,1.0,0.1,Africa
Congo,81,1,9.0,1.7,Africa
Cook Islands,5,254,74.0,5.9,Oceania
Costa Rica,154,87,11.0,4.4,North America
Croatia,235,87,254.0,10.2,Europe
Cuba,98,137,5.0,4.2,North America
Cyprus,197,154,113.0,8.2,Europe
Czech Republic,366,170,134.0,11.8,Europe
North Korea,5,0,0.0,0.0,Asia
DR Congo,37,3,1.0,2.3,Africa
Denmark,229,81,278.0,10.4,Europe
Djibouti,20,44,3.0,1.1,Africa
Dominica,57,286,26.0,6.6,North America
Dominican Republic,198,147,9.0,6.2,North America
Ecuador,167,74,3.0,4.2,South America
Egypt,11,4,1.0,0.2,Africa
El Salvador,57,69,2.0,2.2,North America
Equatorial Guinea,97,0,233.0,5.8,Africa
Eritrea,23,0,0.0,0.5,Africa
Estonia,229,194,59.0,9.5,Europe
Ethiopia,25,3,0.0,0.7,Africa
Fiji,82,35,1.0,2.0,Oceania
Finland,268,133,97.0,10.0,Europe
France,132,151,370.0,11.8,Europe
Gabon,352,98,59.0,8.9,Africa
Gambia,13,0,1.0,2.4,Africa
Georgia,57,100,149.0,5.4,Europe
Germany,351,117,175.0,11.3,Europe
Ghana,36,3,10.0,1.8,Africa
Greece,138,112,218.0,8.3,Europe
Grenada,204,438,28.0,11.9,North America
Guatemala,58,69,2.0,2.2,North America
Guinea,14,0,2.0,0.2,Africa
Guinea-Bissau,33,31,21.0,2.5,Africa
Guyana,98,302,1.0,7.1,South America
Haiti,6,326,1.0,5.9,North America
Honduras,74,98,2.0,3.0,North America
Hungary,239,215,185.0,11.3,Europe
Iceland,238,61,78.0,6.6,Europe
India,14,114,0.0,2.2,Asia
Indonesia,10,1,0.0,0.1,Asia
Iran,5,0,0.0,0.0,Asia
Iraq,14,3,0.0,0.2,Asia
Ireland,318,118,165.0,11.4,Europe
Israel,68,69,9.0,2.5,Asia
Italy,90,42,237.0,6.5,Europe
Jamaica,87,97,9.0,3.4,North America
Japan,82,202,16.0,7.0,Asia
Jordan,11,21,1.0,0.5,Asia
Kazakhstan,129,246,12.0,6.8,Asia
Kenya,63,22,2.0,1.8,Africa
Kiribati,26,34,1.0,1.0,Oceania
Kuwait,5,0,0.0,0.0,Asia
Kyrgyzstan,36,97,6.0,2.4,Asia
Laos,67,0,123.0,6.2,Asia
Latvia,286,216,62.0,10.5,Europe
Lebanon,25,55,31.0,1.9,Asia
Lesotho,87,29,0.0,2.8,Africa
Liberia,24,152,2.0,3.1,Africa
Libya,5,0,0.0,0.0,Africa
Lithuania,348,244,56.0,12.9,Europe
Luxembourg,241,133,271.0,11.4,Europe
Madagascar,31,15,4.0,0.8,Africa
Malawi,13,11,1.0,1.5,Africa
Malaysia,18,4,0.0,0.3,Asia
Maldives,5,0,0.0,0.0,Asia
Mali,10,1,1.0,0.6,Africa
Malta,154,100,120.0,6.6,Europe
Marshall Islands,5,0,0.0,0.0,Oceania
Mauritania,5,0,0.0,0.0,Africa
Mauritius,103,31,18.0,2.6,Africa
Mexico,243,68,5.0,5.5,North America
Micronesia,67,50,18.0,2.3,Oceania
Monaco,5,0,0.0,0.0,Europe
Mongolia,82,189,8.0,4.9,Asia
Montenegro,36,114,128.0,4.9,Europe
Morocco,17,6,10.0,0.5,Africa
Mozambique,52,18,5.0,1.3,Africa
Myanmar,10,1,0.0,0.1,Asia
Namibia,381,3,1.0,6.8,Africa
Nauru,54,0,8.0,1.0,Oceania
Nepal,10,6,0.0,0.2,Asia
Netherlands,256,88,190.0,9.4,Europe
New Zealand,208,79,175.0,9.3,Oceania
Nicaragua,83,118,1.0,3.5,North America
Niger,8,2,1.0,0.1,Africa
Nigeria,47,5,2.0,9.1,Africa
Niue,193,200,7.0,7.0,Oceania
Norway,174,71,129.0,6.7,Europe
Oman,27,16,1.0,0.7,Asia
Pakistan,5,0,0.0,0.0,Asia
Palau,311,63,23.0,6.9,Oceania
Panama,290,104,18.0,7.2,North America
Papua New Guinea,49,39,1.0,1.5,Oceania
Paraguay,218,117,74.0,7.3,South America
Peru,168,160,21.0,6.1,South America
Philippines,76,186,1.0,4.6,Asia
Poland,348,215,56.0,10.9,Europe
Portugal,199,67,339.0,11.0,Europe
Qatar,6,42,7.0,0.9,Asia
South Korea,145,16,9.0,9.8,Asia
Moldova,114,226,18.0,6.3,Europe
Romania,302,122,167.0,10.4,Europe
Russian Federation,252,326,73.0,11.5,Asia
Rwanda,48,2,0.0,6.8,Africa
St. Kitts & Nevis,199,205,32.0,7.7,North America
St. Lucia,176,315,71.0,10.1,North America
St. Vincent & the Grenadines,125,221,11.0,6.3,North America
Samoa,110,18,24.0,2.6,Oceania
San Marino,5,0,0.0,0.0,Europe
Sao Tome & Principe,61,38,140.0,4.2,Africa
Saudi Arabia,5,5,0.0,0.1,Asia
Senegal,14,1,7.0,0.3,Africa
Serbia,288,131,127.0,9.6,Europe
Seychelles,162,25,51.0,4.1,Africa
Sierra Leone,30,3,2.0,6.7,Africa
Singapore,65,12,11.0,1.5,Asia
Slovakia,201,293,116.0,11.4,Europe
Slovenia,275,51,276.0,10.6,Europe
Solomon Islands,61,11,1.0,1.2,Oceania
Somalia,5,0,0.0,0.0,Africa
South Africa,230,76,81.0,8.2,Africa
Spain,289,157,112.0,10.0,Europe
Sri Lanka,21,104,0.0,2.2,Asia
Sudan,13,13,0.0,1.7,Africa
Suriname,133,178,7.0,5.6,South America
Swaziland,95,2,2.0,4.7,Africa
Sweden,157,60,186.0,7.2,Europe
Switzerland,190,100,280.0,10.2,Europe
Syria,10,35,16.0,1.0,Asia
Tajikistan,7,15,0.0,0.3,Asia
Thailand,104,258,1.0,6.4,Asia
Macedonia,111,27,86.0,3.9,Europe
Timor-Leste,6,1,4.0,0.1,Asia
Togo,41,2,19.0,1.3,Africa
Tonga,41,21,5.0,1.1,Oceania
Trinidad & Tobago,202,156,7.0,6.4,North America
Tunisia,56,3,20.0,1.3,Africa
Turkey,56,22,7.0,1.4,Asia
Turkmenistan,24,71,32.0,2.2,Asia
Tuvalu,11,41,9.0,1.0,Oceania
Uganda,50,9,0.0,8.3,Africa
Ukraine,211,237,45.0,8.9,Europe
United Arab Emirates,21,135,5.0,2.8,Asia
United Kingdom,224,126,195.0,10.4,Europe
Tanzania,41,6,1.0,5.7,Africa
USA,254,158,84.0,8.7,North America
Uruguay,120,35,220.0,6.6,South America
Uzbekistan,30,101,8.0,2.4,Asia
Vanuatu,26,18,11.0,0.9,Oceania
Venezuela,338,100,3.0,7.7,South America
Vietnam,116,2,1.0,2.0,Asia
Yemen,11,0,0.0,0.1,Asia
Zambia,37,19,4.0,2.5,Africa
Zimbabwe,69,18,4.0,4.7,Africa
